filename,class
casme2-sub01_EP02_01f-happiness,happiness
casme2-sub01_EP19_05f-disgust,disgust
casme2-sub01_EP19_06f-disgust,disgust
casme2-sub02_EP09_01-happiness,happiness
casme2-sub02_EP11_01-surprise,surprise
casme2-sub02_EP13_04-surprise,surprise
casme2-sub02_EP14_01-surprise,surprise
casme2-sub03_EP01_2-surprise,surprise
casme2-sub03_EP07_04-disgust,disgust
casme2-sub03_EP09_03-disgust,disgust
casme2-sub03_EP18_06-disgust,disgust
casme2-sub03_EP19_08-disgust,disgust
casme2-sub04_EP12_01f-disgust,disgust
casme2-sub04_EP12_02f-disgust,disgust
casme2-sub04_EP13_06f-disgust,disgust
casme2-sub05_EP02_07-surprise,surprise
casme2-sub05_EP03_01-happiness,happiness
casme2-sub05_EP03_06-surprise,surprise
casme2-sub05_EP04_05-surprise,surprise
casme2-sub05_EP04_06-surprise,surprise
casme2-sub05_EP09_05f-disgust,disgust
casme2-sub05_EP12_03f-surprise,surprise
casme2-sub06_EP01_01-happiness,happiness
casme2-sub06_EP02_31-surprise,surprise
casme2-sub06_EP15_02-surprise,surprise
casme2-sub06_EP16_05-disgust,disgust
casme2-sub07_EP01_01-disgust,disgust
casme2-sub07_EP06_02_01-disgust,disgust
casme2-sub07_EP06_02_02-disgust,disgust
casme2-sub07_EP08_02-disgust,disgust
casme2-sub07_EP15_01-disgust,disgust
casme2-sub09_EP02_01f-happiness,happiness
casme2-sub09_EP05_05-happiness,happiness
casme2-sub09_EP06_02f-happiness,happiness
casme2-sub09_EP09f-happiness,happiness
casme2-sub09_EP13_02-fear,fear
casme2-sub09_EP15_05-happiness,happiness
casme2-sub10_EP13_01-fear,fear
casme2-sub11_EP08_01f-disgust,disgust
casme2-sub11_EP13_02f-disgust,disgust
casme2-sub11_EP13_03f-disgust,disgust
casme2-sub11_EP13_05f-disgust,disgust
casme2-sub12_EP01_02-disgust,disgust
casme2-sub12_EP02_05-surprise,surprise
casme2-sub12_EP03_04-happiness,happiness
casme2-sub12_EP04_16-disgust,disgust
casme2-sub12_EP06_06-surprise,surprise
casme2-sub12_EP08_01-surprise,surprise
casme2-sub12_EP08_03-surprise,surprise
casme2-sub12_EP08_07-happiness,happiness
casme2-sub12_EP09_02-disgust,disgust
casme2-sub12_EP09_06-disgust,disgust
casme2-sub12_EP16_02-disgust,disgust
casme2-sub13_EP03_01-happiness,happiness
casme2-sub13_EP09_10-happiness,happiness
casme2-sub14_EP09_03-happiness,happiness
casme2-sub14_EP09_04-happiness,happiness
casme2-sub14_EP09_06-happiness,happiness
casme2-sub15_EP03_02-happiness,happiness
casme2-sub15_EP04_02-surprise,surprise
casme2-sub15_EP08_02-disgust,disgust
casme2-sub16_EP01_05-happiness,happiness
casme2-sub16_EP04_02f-happiness,happiness
casme2-sub17_EP01_06-happiness,happiness
casme2-sub17_EP01_13-surprise,surprise
casme2-sub17_EP01_15-happiness,happiness
casme2-sub17_EP02_01-disgust,disgust
casme2-sub17_EP02_03-disgust,disgust
casme2-sub17_EP02_11-disgust,disgust
casme2-sub17_EP03_02-disgust,disgust
casme2-sub17_EP03_09-happiness,happiness
casme2-sub17_EP05_02-happiness,happiness
casme2-sub17_EP05_03-happiness,happiness
casme2-sub17_EP06_04-disgust,disgust
casme2-sub17_EP06_07-happiness,happiness
